Average_Salary,Years_Experience,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Income_Band_Code,Experience_Band_Code,Job_Sector_Code,Labour_Group_Code,Risk_Category_Code,Job_Title_Code,Education_Level_Code
93220,27,0.45,1.47,0.26,0.71,0.29,0.17,0.92,0.42,0.28,0.47,0.92,0.39,0.56,1,4,6,3,0,7,2
108610,13,0.43,0.73,0.7,0.96,0.84,0.69,0.29,0.91,0.28,0.8,0.92,0.6,0.8,2,3,10,2,1,11,2
64722,23,0.19,1.17,0.34,0.51,0.16,0.42,0.83,0.99,0.32,0.53,0.51,0.95,0.48,1,4,4,2,1,4,1
70910,20,0.92,0.87,0.93,0.92,0.93,0.27,0.4,0.87,0.36,0.6,0.12,0.06,0.41,1,4,0,0,2,0,3
138347,21,0.78,0.96,0.22,0.39,0.16,0.4,0.58,0.95,0.07,0.51,0.33,0.51,0.02,2,4,3,1,0,5,1
58152,13,0.82,1.05,0.48,0.29,0.3,0.38,0.84,0.97,0.44,0.39,0.85,0.43,0.55,1,3,16,2,1,19,2
95063,3,0.74,1.03,0.62,0.78,0.22,0.72,0.8,0.35,0.17,0.0,0.45,0.35,0.55,1,1,10,2,1,11,3
125761,21,0.86,0.76,0.76,0.48,0.5,0.22,0.27,0.17,0.72,0.77,0.46,0.71,0.74,2,4,12,0,2,14,3
31645,4,0.97,1.32,0.38,0.19,0.13,0.14,0.75,0.47,0.78,0.75,0.6,0.69,0.02,1,1,11,1,1,13,0
73262,2,0.64,0.51,0.71,0.85,0.68,0.27,0.69,0.79,0.31,0.04,0.93,0.35,0.11,1,1,8,0,2,9,3
51730,25,0.77,0.72,0.77,0.24,0.99,0.2,0.58,0.93,0.15,0.97,0.95,0.88,0.21,1,4,12,0,2,14,0
123878,5,0.76,0.77,0.82,0.82,0.27,0.19,0.68,0.53,0.51,0.26,0.03,0.41,0.11,2,2,0,0,2,0,1
89300,11,0.04,0.93,0.32,0.1,0.66,0.65,0.03,0.0,0.08,0.76,0.58,0.04,0.49,1,3,3,1,1,3,0
131971,5,0.87,1.43,0.43,0.14,0.24,0.78,0.97,0.47,0.31,0.43,0.3,0.26,0.59,2,2,3,1,1,12,1
113441,10,0.26,1.16,0.31,0.08,0.29,0.88,0.76,0.02,0.5,0.27,0.65,0.72,0.86,2,3,7,2,1,8,1
87589,15,0.99,1.48,0.92,0.57,0.4,0.36,0.01,0.25,0.72,0.6,0.92,0.05,0.16,1,3,8,0,2,9,1
113446,8,0.73,1.31,0.64,0.99,0.29,0.71,0.12,0.41,0.85,0.37,0.59,0.5,0.65,2,2,11,1,1,13,0
135301,25,0.06,1.07,0.92,0.48,0.08,0.56,0.33,0.15,0.85,0.52,0.93,0.81,0.69,2,4,12,0,2,14,2
118552,4,0.43,0.7,0.66,0.17,0.29,0.52,0.26,0.21,0.6,0.09,0.06,0.37,0.72,2,1,10,2,1,11,2
148977,29,0.42,1.07,0.45,0.94,0.05,0.67,0.89,0.8,0.18,0.3,0.72,0.08,0.81,2,4,16,2,1,19,3
48715,17,0.73,0.6,0.59,0.68,0.83,0.04,0.02,0.37,0.15,0.56,0.92,0.39,0.84,1,3,9,1,1,10,2
147045,19,0.17,0.53,0.43,0.91,0.1,0.61,0.45,0.94,0.12,0.21,0.03,0.43,0.28,2,3,7,2,1,8,3
40196,16,0.6,1.11,0.51,0.09,0.45,1.0,0.84,0.89,0.82,0.1,0.23,0.0,0.3,1,3,3,1,1,3,0
141054,25,0.47,1.18,0.92,0.75,0.94,0.05,0.01,0.66,0.29,0.25,0.33,0.27,0.51,2,4,14,0,2,16,3
132785,24,0.51,1.17,0.8,0.25,0.17,0.35,0.74,0.76,0.67,0.23,0.59,0.57,0.48,2,4,8,0,2,9,3
123249,23,0.49,1.07,0.59,0.11,0.75,0.14,0.07,0.98,0.96,0.06,0.44,0.19,0.49,2,4,9,1,1,10,2
62500,21,0.95,1.13,0.14,0.6,0.31,0.91,0.87,0.56,0.32,0.29,0.03,0.82,0.45,1,4,1,1,0,1,1
136128,9,0.49,1.41,0.91,0.15,0.71,0.44,0.25,0.69,0.74,0.18,0.91,0.75,0.93,2,2,8,0,2,9,1
142109,8,0.94,0.87,0.06,0.76,0.7,0.6,0.49,0.03,0.62,0.42,0.56,0.43,0.97,2,2,3,1,0,5,1
87737,25,0.75,1.44,0.54,0.01,0.03,0.7,0.28,0.58,0.2,0.27,0.5,0.98,0.62,1,4,9,1,1,10,2
121903,0,0.96,0.71,0.13,0.77,0.87,0.52,0.99,0.01,0.3,0.62,0.47,0.12,0.37,2,0,6,3,0,7,2
141654,27,0.64,1.39,0.27,0.7,0.47,0.51,0.14,0.34,0.19,0.82,0.91,0.54,0.73,2,4,3,1,0,5,0
50662,20,0.61,1.2,0.48,0.24,0.88,0.74,0.9,0.82,0.99,0.19,0.09,0.34,0.13,1,4,9,1,1,10,0
116755,1,0.44,0.56,0.69,0.59,0.56,0.66,0.5,0.03,0.61,0.72,0.42,0.76,0.23,2,0,3,1,1,3,1
133719,6,0.16,0.87,0.64,0.83,0.38,0.59,0.72,0.24,0.17,0.97,0.62,0.98,0.34,2,2,3,1,1,12,0
127427,21,0.34,1.04,0.57,0.63,0.46,0.56,0.28,0.02,0.63,0.25,0.67,0.75,0.92,2,4,7,2,1,8,1
130628,7,0.01,1.49,0.57,0.64,0.02,0.86,0.15,0.84,0.02,0.65,0.43,0.2,0.11,2,2,15,0,1,17,3
43686,3,0.12,0.99,0.21,0.83,0.68,0.07,0.31,0.29,0.92,0.87,0.37,0.07,0.89,1,1,6,3,0,7,0
57313,26,0.85,1.35,0.17,0.18,0.48,0.49,0.49,0.54,0.26,0.37,0.43,0.13,0.46,1,4,1,1,0,1,3
91404,6,0.83,0.91,0.51,0.03,0.67,0.4,0.45,0.87,0.46,0.02,0.23,0.48,0.42,1,2,9,1,1,10,2
109794,20,0.54,1.19,0.49,0.44,0.45,0.41,0.54,0.25,0.89,0.33,0.15,0.1,0.01,2,4,4,2,1,4,1
49416,8,0.19,0.52,0.51,0.68,0.09,0.46,0.74,0.99,0.67,0.24,0.72,0.6,0.21,1,2,7,2,1,8,3
56162,9,0.43,1.46,0.23,0.64,0.73,0.48,0.51,0.85,0.68,0.9,0.89,0.98,0.7,1,2,13,3,0,18,0
85420,4,0.17,1.21,0.77,0.28,0.24,0.88,0.87,0.63,0.47,0.67,0.61,0.42,0.38,1,1,8,0,2,9,1
82948,4,0.59,1.15,0.48,0.97,0.08,0.35,0.42,0.02,0.36,0.27,0.51,0.34,0.73,1,1,4,2,1,4,1
91336,8,0.16,1.29,0.3,0.02,0.7,0.25,0.04,0.4,0.94,0.01,0.59,0.5,0.87,1,2,13,3,0,18,3
104474,16,0.68,1.18,0.57,0.94,0.82,0.04,0.47,0.4,0.31,0.45,0.38,0.43,0.98,2,3,7,2,1,8,2
72628,8,0.92,0.98,0.86,0.83,0.36,0.43,0.41,0.37,0.93,0.83,0.11,0.11,0.43,1,2,8,0,2,9,2
135494,19,0.62,0.64,0.18,0.01,0.32,0.68,0.48,0.98,0.87,0.36,0.05,0.85,0.91,2,3,1,1,0,1,0
71751,2,0.37,0.58,0.59,0.0,0.05,0.0,0.65,0.42,0.3,0.91,0.19,0.39,0.94,1,1,5,0,1,6,0
86087,1,0.55,0.58,0.9,0.42,0.8,0.25,0.42,0.79,0.97,0.06,0.81,0.3,0.55,1,0,14,0,2,16,0
127425,29,0.61,0.85,0.13,0.04,0.15,0.92,1.0,0.78,0.29,0.4,0.74,0.97,0.46,2,4,13,3,0,18,0
133587,16,0.43,0.99,0.67,0.52,0.49,0.58,0.69,0.11,0.82,0.44,0.07,0.79,0.38,2,3,3,1,1,12,1
140373,5,0.63,1.38,0.92,0.96,0.87,0.0,0.38,0.82,0.37,0.6,0.61,0.37,0.9,2,2,0,0,2,0,2
133080,14,0.13,1.09,0.21,0.05,0.24,0.8,0.05,0.86,0.66,0.43,0.35,0.02,0.83,2,3,3,1,0,5,1
123012,20,0.31,1.07,0.4,0.5,0.81,0.47,0.95,0.85,0.33,0.4,0.42,0.63,0.29,2,4,15,0,1,17,3
76629,11,0.61,0.9,0.56,0.4,0.82,0.57,0.04,0.18,0.86,0.56,0.95,0.07,0.3,1,3,4,2,1,4,2
33811,3,0.55,0.88,0.36,0.64,0.54,0.27,0.48,0.75,0.21,0.29,0.35,0.75,0.85,1,1,4,2,1,4,3
95283,4,0.3,1.39,0.3,0.67,0.99,0.66,0.73,0.39,0.43,0.14,0.82,0.93,0.62,1,1,6,3,0,7,0
113205,1,0.15,0.77,0.11,0.61,0.95,0.05,0.0,0.6,0.28,0.88,0.33,0.29,0.27,2,0,13,3,0,18,0
100453,28,0.58,0.67,0.47,0.46,0.02,0.02,0.52,0.7,0.94,0.18,0.1,0.05,0.44,2,4,7,2,1,8,1
68397,14,0.84,1.18,0.1,0.46,0.91,0.33,0.5,0.96,0.73,0.75,0.25,0.41,0.08,1,3,13,3,0,18,2
113824,10,0.1,1.34,0.63,0.53,0.14,0.03,0.8,0.6,0.71,0.3,0.51,0.75,0.46,2,3,10,2,1,11,1
50758,26,0.79,0.72,0.33,0.53,0.06,0.77,0.72,0.88,0.64,0.07,0.25,0.81,0.17,1,4,3,1,1,12,1
135900,8,0.78,0.83,0.43,0.56,0.86,0.22,0.94,0.6,0.99,0.09,0.13,0.83,0.86,2,2,5,0,1,6,2
133613,11,0.71,1.37,0.06,0.57,0.85,0.4,0.3,0.8,0.34,0.0,0.96,0.59,0.82,2,3,3,1,0,5,3
93115,10,0.07,0.67,0.42,0.32,0.66,0.62,0.49,0.21,0.38,0.54,0.47,0.13,0.65,1,3,7,2,1,8,0
129683,11,0.38,1.21,0.06,0.57,0.33,0.01,0.19,0.94,0.52,1.0,0.52,0.54,0.39,2,3,1,1,0,1,2
83013,15,0.25,0.84,0.48,0.19,0.22,0.27,0.45,0.65,0.86,0.29,0.18,0.38,0.89,1,3,16,2,1,19,1
45233,16,0.68,0.98,0.09,0.32,0.22,0.88,0.48,0.56,0.59,0.64,0.5,0.02,0.33,1,3,6,3,0,7,0
50765,19,0.68,0.56,0.19,0.21,0.95,0.34,0.33,0.92,0.42,0.96,0.02,0.31,0.67,1,3,13,3,0,18,3
108766,18,0.14,0.85,0.8,0.51,0.93,0.87,0.13,0.17,0.36,0.29,0.61,0.9,0.96,2,3,12,0,2,14,1
64297,16,0.84,1.03,0.75,0.52,0.56,0.74,0.22,0.37,0.36,0.96,0.44,0.76,0.75,1,3,14,0,2,16,0
76126,10,0.57,1.39,0.49,0.95,0.21,0.07,0.89,0.85,0.99,0.68,0.94,0.83,0.84,1,3,7,2,1,8,0
112694,27,0.38,1.43,0.16,0.54,0.45,0.56,0.47,0.05,0.88,0.44,0.59,0.14,0.0,2,4,6,3,0,7,2
117287,21,0.7,0.6,0.28,0.22,0.2,0.18,0.01,0.77,0.88,0.61,0.19,0.29,0.48,2,4,13,3,0,15,0
31082,12,0.25,1.23,0.16,0.3,0.46,0.07,0.8,0.24,0.73,0.07,0.96,0.19,0.88,1,3,13,3,0,18,1
137252,23,0.97,0.98,0.88,0.37,0.18,0.44,0.17,0.98,0.1,0.59,0.63,0.54,0.66,2,4,0,0,2,0,1
31511,17,0.56,0.79,0.68,0.76,0.97,0.04,0.29,0.2,0.01,0.24,0.68,0.23,0.51,1,3,4,2,1,4,1
33145,9,0.69,0.89,0.79,0.46,0.18,0.63,0.36,0.85,0.76,0.61,0.36,0.21,0.78,1,2,14,0,2,16,2
115642,19,0.22,0.7,0.37,0.78,0.23,0.53,0.45,0.58,0.88,0.87,0.45,0.02,0.43,2,3,3,1,1,3,3
128303,9,0.56,1.15,0.09,0.65,0.18,0.75,0.34,0.71,0.05,0.41,0.71,0.23,0.8,2,2,13,3,0,15,1
81142,16,0.59,0.85,0.82,0.6,0.47,0.7,0.43,0.2,0.21,0.01,0.3,0.75,0.79,1,3,2,0,2,2,1
89817,13,0.96,1.0,0.28,0.71,0.72,0.09,0.22,0.01,0.72,0.34,0.79,0.34,0.82,1,3,1,1,0,1,3
124410,0,0.17,0.84,0.46,0.35,0.76,0.1,0.35,0.84,0.07,0.94,0.99,0.09,0.29,2,0,10,2,1,11,2
138139,15,0.78,1.1,0.56,0.76,0.12,0.83,0.71,0.58,0.89,0.7,0.2,0.43,0.49,2,3,15,0,1,17,1
78657,18,0.95,0.63,0.22,0.51,0.03,0.92,0.85,0.52,0.23,0.12,0.36,0.26,0.51,1,3,1,1,0,1,3
69309,8,0.57,1.39,0.86,0.48,0.85,0.47,0.87,0.29,0.13,0.86,0.59,0.89,0.94,1,2,14,0,2,16,3
68669,17,0.49,1.36,0.34,0.45,0.29,0.1,0.76,0.51,0.56,0.41,0.46,0.12,0.67,1,3,9,1,1,10,2
87033,27,0.82,0.7,0.75,0.65,0.85,0.47,0.73,1.0,0.99,0.74,0.74,0.25,0.83,1,4,14,0,2,16,3
80658,5,0.96,0.58,0.16,0.56,0.41,0.21,0.59,0.76,0.64,0.23,0.73,0.26,0.18,1,2,6,3,0,7,3
136081,29,0.84,0.98,0.51,0.3,0.49,0.13,0.96,0.8,0.67,0.54,0.79,0.49,0.3,2,4,3,1,1,3,0
48728,11,0.65,1.43,0.36,0.18,0.43,0.81,0.29,0.25,0.62,0.54,0.06,0.08,0.64,1,3,3,1,1,3,1
52286,15,0.97,1.18,0.3,0.48,0.41,0.11,0.92,0.81,0.23,0.26,0.03,0.3,0.58,1,3,7,2,0,8,0
55727,28,0.19,1.4,0.38,0.03,0.02,0.62,0.66,0.31,0.32,0.34,0.68,0.06,0.93,1,4,4,2,1,4,3
104638,10,1.0,0.67,0.61,0.22,0.08,0.87,0.86,0.4,0.7,0.56,0.85,0.32,0.52,2,3,16,2,1,19,2
119363,1,0.35,1.39,0.37,0.15,0.58,0.66,0.19,0.39,0.95,0.25,0.67,0.74,0.45,2,0,3,1,1,12,3
141597,26,0.74,0.96,0.84,0.69,0.59,0.88,0.36,0.3,0.21,0.04,0.04,0.87,0.68,2,4,2,0,2,2,1
72756,18,0.61,1.35,0.49,0.87,0.36,0.93,0.7,0.26,0.56,0.53,0.14,0.59,0.31,1,3,16,2,1,19,3
77774,10,0.95,1.14,0.27,0.68,0.36,0.51,0.68,0.96,0.25,0.87,0.92,0.67,0.93,1,3,1,1,0,1,0
119865,12,0.95,1.2,0.71,0.91,0.48,0.46,0.57,0.15,0.47,0.83,0.02,0.27,0.0,2,3,12,0,2,14,2
33692,25,0.73,1.3,0.29,0.61,0.25,0.92,0.78,0.57,0.7,0.92,0.71,0.37,0.71,1,4,3,1,0,5,0
139419,4,0.39,0.91,0.09,0.02,0.13,0.65,0.8,0.99,0.35,0.6,0.94,0.17,0.72,2,1,1,1,0,1,3
48782,6,0.09,1.36,0.9,0.03,0.09,0.05,0.33,0.51,0.53,0.27,0.91,0.37,0.05,1,2,14,0,2,16,1
140349,14,0.53,0.91,0.77,0.13,0.82,1.0,0.33,0.38,0.62,0.72,0.39,0.9,0.56,2,3,12,0,2,14,2
80075,22,0.65,1.45,0.62,0.04,0.33,0.47,0.31,0.7,0.83,0.73,0.99,0.27,0.87,1,4,3,1,1,3,1
120629,22,0.36,1.23,0.34,0.79,0.53,0.29,0.66,0.64,0.21,0.03,0.43,0.57,0.88,2,4,5,0,1,6,1
135899,24,0.53,1.25,0.16,0.75,0.2,0.37,0.63,0.02,0.72,0.84,0.4,0.45,0.85,2,4,3,1,0,5,1
115333,1,0.29,0.82,0.57,0.56,0.16,0.31,0.9,0.69,0.99,0.77,0.94,0.22,0.77,2,0,16,2,1,19,2
93908,22,0.67,0.97,0.44,0.86,0.85,0.02,0.61,0.37,0.42,0.83,0.31,0.94,0.18,1,4,5,0,1,6,2
41564,3,0.67,0.75,0.78,0.83,0.76,0.33,0.53,0.06,0.21,0.49,0.09,0.84,0.72,1,1,12,0,2,14,2
144507,9,0.56,1.09,0.79,0.28,0.27,0.17,0.33,0.2,0.63,0.57,0.38,0.33,0.24,2,2,14,0,2,16,0
147679,29,0.92,1.19,0.6,0.83,0.35,0.06,0.62,0.19,0.57,0.74,0.78,0.3,0.51,2,4,11,1,1,13,2
132811,12,0.82,1.26,0.3,0.01,0.44,0.26,0.12,0.91,1.0,0.18,0.04,0.28,0.83,2,3,1,1,0,1,2
54940,26,0.06,0.55,0.47,0.93,0.29,0.43,0.1,0.49,0.7,0.27,0.3,0.84,0.01,1,4,9,1,1,10,2
144326,14,0.39,0.8,0.56,0.83,0.56,0.03,0.46,0.46,0.54,0.67,0.02,0.5,0.59,2,3,3,1,1,3,3
30511,18,0.67,0.73,0.13,0.96,0.35,0.35,0.6,0.97,0.98,0.58,0.0,0.9,0.57,1,3,13,3,0,18,2
49359,26,0.9,0.77,0.41,0.3,0.61,0.44,0.73,0.89,0.67,0.2,0.93,0.26,0.15,1,4,3,1,1,3,1
36265,15,0.56,0.61,0.36,0.3,0.28,0.6,0.82,0.76,0.26,0.25,0.97,0.01,0.88,1,3,5,0,1,6,0
122313,25,0.95,0.84,0.48,0.71,0.59,0.32,0.55,0.73,0.04,0.01,0.46,0.13,0.66,2,4,10,2,1,11,2
39280,1,0.43,0.7,0.52,0.12,0.02,0.05,0.95,0.14,0.71,0.07,0.11,0.51,0.46,1,0,15,0,1,17,3
80281,26,0.94,1.28,0.85,0.45,0.36,0.95,0.6,0.58,0.23,0.05,0.95,0.31,0.44,1,4,2,0,2,2,1
98354,16,0.84,0.53,0.63,0.14,0.89,0.73,0.16,0.57,0.31,0.18,0.86,0.4,0.4,1,3,9,1,1,10,0
140951,11,0.38,1.37,0.45,0.95,0.95,0.14,0.18,0.86,0.39,0.0,0.27,0.6,0.8,2,3,4,2,1,4,0
145131,22,0.11,1.42,0.89,0.59,0.77,0.43,0.76,0.37,0.24,0.73,0.42,0.98,0.35,2,4,12,0,2,14,2
51529,7,0.93,0.74,0.25,0.43,0.92,0.45,0.74,0.47,0.23,0.2,0.43,0.76,0.61,1,2,13,3,0,18,1
30594,25,0.28,0.98,0.71,0.82,0.99,0.41,0.01,0.17,0.65,0.61,0.79,0.25,0.76,1,4,12,0,2,14,2
142770,22,0.32,1.05,0.74,0.45,0.88,0.42,0.84,0.59,0.19,0.58,0.51,0.4,0.12,2,4,12,0,2,14,2
122995,5,0.07,0.6,0.47,0.31,0.93,0.38,0.76,0.53,0.7,0.26,0.94,0.53,0.83,2,2,16,2,1,19,0
137126,7,0.1,1.17,0.05,0.48,0.19,0.63,0.98,0.46,0.82,0.51,0.5,0.93,0.89,2,2,1,1,0,1,2
44372,26,0.12,0.8,0.94,0.63,0.55,0.71,0.42,0.76,0.39,0.83,0.27,0.28,0.52,1,4,8,0,2,9,1
53795,7,0.65,0.86,0.11,0.47,0.56,0.14,0.56,0.32,0.39,0.28,0.93,0.68,0.26,1,2,13,3,0,18,2
80697,15,0.85,0.9,0.91,0.15,0.82,0.54,0.22,0.41,0.99,0.78,0.58,0.12,0.42,1,3,0,0,2,0,1
118078,13,0.07,1.04,0.66,0.68,0.25,0.57,0.94,0.72,0.69,0.97,0.8,0.14,0.35,2,3,11,1,1,13,3
125773,28,0.49,0.61,0.16,0.7,1.0,0.32,0.51,0.88,0.36,0.11,0.95,0.49,0.5,2,4,13,3,0,18,2
93766,10,0.0,1.43,0.44,0.4,0.17,0.38,0.8,0.8,0.94,0.4,0.71,0.51,0.8,1,3,3,1,1,12,3
105569,0,0.37,0.84,0.76,0.58,0.96,0.2,0.1,0.12,0.78,0.35,0.22,0.35,0.65,2,0,14,0,2,16,1
45782,19,0.74,0.84,0.16,0.1,0.07,0.46,0.3,0.61,0.04,0.12,0.87,0.57,0.71,1,3,6,3,0,7,1
127288,12,0.46,1.26,0.83,0.22,0.34,0.49,0.32,0.34,0.34,0.12,0.08,0.05,0.11,2,3,2,0,2,2,0
107865,2,0.59,0.69,0.92,0.81,0.52,0.72,0.37,0.04,0.9,0.13,0.95,0.57,0.31,2,1,0,0,2,0,2
75986,27,0.5,0.52,0.14,0.74,0.51,0.24,0.34,0.86,0.53,0.53,0.96,0.32,0.48,1,4,3,1,0,5,3
60276,19,0.76,0.77,0.36,0.7,0.26,0.92,0.13,0.32,0.05,0.7,0.89,0.64,0.94,1,3,7,2,1,8,2
137294,2,0.09,1.34,0.64,0.83,0.8,0.36,0.22,0.93,0.31,0.4,0.7,0.29,0.82,2,1,4,2,1,4,0
147272,3,0.79,1.1,0.53,0.46,0.28,0.46,0.45,0.58,0.28,0.08,0.15,0.7,0.02,2,1,11,1,1,13,3
45819,24,0.62,0.98,0.46,0.99,0.82,0.43,0.73,0.27,0.1,0.35,0.4,0.02,0.81,1,4,5,0,1,6,3
36473,18,0.58,0.57,0.09,0.89,0.61,0.95,1.0,0.37,0.3,0.86,1.0,0.63,0.8,1,3,3,1,0,5,1
62556,27,0.36,1.07,0.91,0.69,0.02,0.34,0.14,0.23,0.91,0.04,0.22,0.31,0.62,1,4,12,0,2,14,2
88209,7,0.22,0.66,0.11,0.5,0.27,0.95,0.46,0.06,0.73,0.33,0.65,0.28,0.57,1,2,1,1,0,1,1
147067,23,0.93,0.76,0.43,0.46,0.93,0.9,0.09,0.13,0.5,0.11,0.35,0.15,0.64,2,4,10,2,1,11,3
38699,3,1.0,0.88,0.54,0.86,0.12,0.69,0.41,0.21,0.4,0.08,0.7,0.25,0.31,1,1,10,2,1,11,0
107593,25,0.86,0.99,0.53,0.57,0.41,0.19,0.75,0.13,0.1,0.71,0.21,0.31,0.48,2,4,3,1,1,12,2
75076,18,0.71,1.12,0.86,0.71,0.29,0.32,0.44,0.31,0.98,0.81,0.16,0.01,0.04,1,3,0,0,2,0,3
91743,6,0.11,1.03,0.64,0.74,0.22,0.4,0.51,0.81,0.84,0.91,0.51,0.69,0.11,1,2,3,1,1,3,1
80924,10,0.25,0.93,0.55,0.26,0.05,0.01,0.02,0.01,0.11,0.24,0.22,0.99,0.31,1,3,11,1,1,13,3
72500,19,0.55,1.36,0.22,0.3,0.56,0.71,0.73,0.67,0.87,0.87,0.58,0.43,0.64,1,3,1,1,0,1,3
52380,16,0.01,1.49,0.37,0.47,0.87,0.23,0.48,0.13,0.4,0.18,0.36,0.37,0.99,1,3,3,1,1,12,3
34355,5,0.11,1.23,0.32,0.03,0.11,0.97,0.94,0.19,0.16,0.24,0.52,0.57,0.22,1,2,11,1,1,13,1
32035,15,0.31,1.42,0.56,0.44,0.79,0.82,0.29,0.34,0.94,0.16,0.04,0.45,0.8,1,3,9,1,1,10,2
32665,17,0.92,1.03,0.34,0.59,0.78,0.09,0.17,0.01,0.59,0.89,0.67,0.98,0.06,1,3,7,2,1,8,3
100739,14,0.81,0.81,0.69,0.29,0.89,0.88,0.76,0.56,0.12,0.53,0.36,0.79,0.76,2,3,4,2,1,4,1
128560,24,0.71,0.98,0.2,0.99,0.6,0.79,0.73,0.7,0.72,0.45,0.47,0.47,0.03,2,4,13,3,0,15,2
59974,11,0.15,1.39,0.41,0.14,0.12,0.7,0.01,0.47,0.12,0.85,0.96,0.96,0.44,1,3,3,1,1,12,2
90521,1,0.6,0.85,0.16,0.06,0.8,0.24,0.46,0.48,0.56,0.82,0.69,0.66,0.53,1,0,6,3,0,7,0
66476,11,0.4,1.46,0.7,0.73,0.23,0.1,0.41,0.86,0.72,0.88,0.62,0.13,0.11,1,3,3,1,1,3,2
82271,11,0.24,1.23,0.57,0.32,0.18,0.1,0.74,0.45,0.32,0.86,0.59,0.52,0.74,1,3,3,1,1,3,3
33743,23,0.69,0.94,0.45,0.77,0.52,0.7,0.89,0.92,0.28,0.19,0.26,0.75,0.37,1,4,15,0,1,17,2
111256,7,0.1,0.83,0.35,0.16,0.68,0.02,0.12,0.84,0.84,0.33,0.09,0.7,0.36,2,2,16,2,1,19,3
132859,26,0.16,0.64,0.54,0.9,0.79,0.55,0.42,0.62,0.44,0.25,0.68,0.87,0.37,2,4,3,1,1,3,2
99810,10,0.43,0.9,0.06,0.7,0.81,0.66,0.15,0.1,0.57,0.4,0.43,0.97,0.72,1,3,3,1,0,5,0
90360,6,0.02,0.53,0.57,0.84,0.71,0.41,0.03,0.97,0.99,0.55,0.07,0.54,0.89,1,2,9,1,1,10,2
130290,4,0.72,0.58,0.08,0.13,0.9,0.53,0.79,0.12,0.93,0.82,0.22,0.87,0.26,2,1,3,1,0,5,0
105656,22,0.84,0.67,0.72,0.4,0.58,0.85,0.97,0.44,0.06,0.75,0.57,0.45,0.31,2,4,8,0,2,9,1
107982,0,0.34,1.26,0.19,0.88,0.54,0.24,0.85,0.56,0.21,0.62,0.36,0.84,0.45,2,0,13,3,0,15,2
33970,13,0.1,0.9,0.69,0.81,0.16,0.28,0.33,0.65,0.76,0.75,0.51,0.81,0.44,1,3,16,2,1,19,3
71753,26,0.56,1.45,0.9,0.58,0.65,0.93,0.43,0.33,0.98,0.86,0.32,0.46,0.42,1,4,14,0,2,16,3
104354,6,0.96,0.9,0.65,0.19,0.55,0.02,0.76,0.58,0.63,0.05,0.21,0.07,0.29,2,2,11,1,1,13,2
35280,20,0.44,0.75,0.89,0.63,0.77,0.32,0.74,0.86,0.35,0.34,0.9,0.05,0.35,1,4,2,0,2,2,1
116545,27,0.03,0.61,0.16,0.69,0.29,0.85,0.44,0.97,0.95,0.77,0.93,0.71,0.9,2,4,1,1,0,1,1
131041,12,0.35,1.25,0.16,0.84,0.88,0.3,0.82,0.15,0.33,0.52,0.23,0.58,0.58,2,3,3,1,0,5,1
134087,23,0.8,1.13,0.43,0.23,0.88,0.84,0.23,0.04,0.8,0.62,0.1,0.59,0.45,2,4,3,1,1,3,1
90985,20,0.21,0.95,0.09,0.96,0.78,0.74,0.69,0.42,0.92,0.07,0.8,0.22,0.32,1,4,3,1,0,5,3
118257,6,0.78,1.34,0.85,0.4,0.95,0.25,0.8,0.61,0.38,0.0,0.45,0.28,0.1,2,2,14,0,2,16,1
134294,23,0.35,1.11,0.26,0.18,0.42,0.39,0.51,0.81,0.55,0.85,0.52,0.6,0.44,2,4,6,3,0,7,1
55666,18,0.92,1.14,0.63,0.06,0.91,0.19,0.26,0.05,0.97,0.85,0.91,0.85,0.48,1,3,10,2,1,11,1
71516,25,0.97,1.0,0.74,0.66,0.98,0.87,0.86,0.93,0.89,0.78,0.72,0.26,0.62,1,4,0,0,2,0,0
48226,18,0.86,0.99,0.08,0.0,0.68,0.55,0.33,0.17,0.47,0.1,0.34,0.38,0.47,1,3,13,3,0,18,1
60011,16,0.26,1.35,0.14,0.23,0.18,0.32,0.07,0.03,0.61,0.62,0.53,0.76,0.04,1,3,3,1,0,5,2
136979,15,0.86,1.43,0.34,0.11,0.03,0.1,0.21,0.97,0.67,0.78,0.78,0.54,0.8,2,3,15,0,1,17,2
85215,21,0.31,1.06,0.83,0.82,0.98,0.41,0.76,0.1,0.78,0.37,0.04,0.36,0.61,1,4,2,0,2,2,1
107255,21,0.92,0.58,0.67,0.71,0.33,0.39,0.74,0.6,0.67,0.39,0.49,0.99,0.21,2,4,3,1,1,3,1
70821,27,0.29,1.27,0.89,0.29,0.08,0.01,0.43,0.41,0.99,0.47,0.26,0.89,0.49,1,4,12,0,2,14,0
133185,18,0.1,0.88,0.94,0.59,0.34,0.63,0.91,0.27,0.51,0.96,0.17,0.72,0.61,2,3,8,0,2,9,2
107929,6,0.35,0.81,0.87,0.22,0.42,0.19,0.01,0.97,0.43,0.97,0.14,0.59,0.2,2,2,2,0,2,2,2
49523,29,0.58,1.2,0.86,0.05,0.1,0.13,0.09,0.18,0.69,0.83,0.41,0.69,0.2,1,4,0,0,2,0,2
